year,context,cluster
1,bülbül sakarya göreceğiz diyorum ben de takip edeceğiz diyorum özgür özel manisa i kinci ayağı hukuka uygun adil yönetim yaparsa ne,165
1,sandık yetmez muhammed levent bülbül sakarya siz de söylüyorsunuz özgür özel manisa ondan bu sandık yetmez i uluslararası siyaset bilimi ölçütlerinde,165
1,kapatıldı başkan bir kez daha açalım mikrofonu ve toparlayalım sayın özel özgür özel manisa toparlayacağım sayın başkan gerçekten i stanbul a,18
1,bir kez daha açalım mikrofonu ve toparlayalım sayın özel özgür özel manisa toparlayacağım sayın başkan gerçekten i stanbul a altmış gün,18
1,da bırakmam mikrofon otomatik cihaz tarafından kapatıldı başkan toparlayın sayın özel özgür özel manisa ya nasıl bırakmazsın millet bırakacaksın dedi senden,65
1,mikrofon otomatik cihaz tarafından kapatıldı başkan toparlayın sayın özel özgür özel manisa ya nasıl bırakmazsın millet bırakacaksın dedi senden memnun olsaydı,65
1,yönettirmeyeceğiz muhammed levent bülbül sakarya onaylamak için kafa sallamıyorum özgür özel manisa ee bu ne demek ekrem i mamoğlu nu 23,147
1,milyon i stanbulluya rağmen mikrofon otomatik cihaz tarafından kapatıldı özgür özel manisa son sözüm başkan son söz olsun buyurun sayın özel,155
1,özel manisa son sözüm başkan son söz olsun buyurun sayın özel özgür özel manisa var ya bakın yaptığınız iş 31 marttan,19
1,son sözüm başkan son söz olsun buyurun sayın özel özgür özel manisa var ya bakın yaptığınız iş 31 marttan sonra o,19
1,başkan biraz önce de aynı tartışma oldu sayın bülbül sayın özel aynı itirazı ileri sürdü muhammed levent bülbül sakarya ama biz,162
1,var bu taşlardan seç hangisini atarsan at cevap ver sayın özel tabii grup başkan vekillerine verilen konuşma süresinde başka bir usul,74
1,amentü besmele aynı laf aynı laf şimdi onların hepsine özgür özel manisa bakara makara dan iyidir amentü hasan kalyoncu i zmir,165
1,durmalıdırlar diye düşünüyorum teşekkür ederim başkan teşekkürler sayın oluç sayın özel buyurun,199
1,ndaki bazı ifadelerine ilişkin açıklaması özgür özel manisa sayın başkan ben de anlayışınıza teşekkür ederek ve mümkün,103
1,savunurken salondaydım mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun özgür özel manisa diyor ki osman kavala yla hiç tanışmadık 2 tane,91
1,bileği mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun toparlayın sayın özel özgür özel manisa ele geçirdiği yargı üzerinden büktürmeye çalışan ve,42
