speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Abdüşşekur Lebit Yurtoğlu,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Abidin Bey,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abidin Özmen,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Abidin İnan Gaydalı,,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Abit Kıvrak,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,,
Abuzer Tanrıverdi,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,
Adem Ali Sarıoğlu,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Adem Baştürk,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Adem Geveri,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,
Adem Tatlı,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,
Adem Yeşildal,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Adem Yıldız,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,
Adem Özcaner,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,,
Adil Ali Cinel,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Adil Aydı,,,,,,,,,,,,,Millet Partisi,,,,,,,,,,,,,,
Adil Aydın,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,,
Adil Aşırım,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Adil Demir,,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Adil Erdem Bayazıt,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Adil Küçük,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Adil Sağıroğlu,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Adil Turan,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Adil Zozani,,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,,,
Adil Çelik,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Adnan Akın,,,,,,,,,,,,,Adalet Partisi,,,,,,Doğru Yol Partisi,,,,,,,,
Adnan Aral,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,,
Adnan Boynukara,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Adnan Fatin Özdemir,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Adnan Günnar,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Adnan Kahveci,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,
Adnan Karaosmanoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Adnan Keskin,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,
Adnan Menderes,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Adnan Sacit Selekler,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Adnan Selçuk Mızraklı,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Adnan Uçaş,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Adnan Yıldız,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Adnan Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,
Adnan Çalıkoğlu,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Adnan Şefik Çirkin,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,
Adnan Şinasi Şenyurt,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Afif Demirkıran,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Agâh Oktay Güner,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,Milliyetçi Hareket Partisi,,,,,,
Ahliya Moskos,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Agâh Erozan,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Akay,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Ahmet Akgün Albayrak,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ahmet Akif Ağaoğlu,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Akif Suner,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Aksu,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ahmet Akçeel,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,,
Ahmet Akın,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Ahmet Ali Çınar,,,,,,,,Bağımsız,,,,,,,,,,,,,,,,,,,
Ahmet Alkan,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Ahmet Alpaslan,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Altun,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Altıntaş,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ahmet Arkan,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Ahmet Arslan,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ahmet Arıkan,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,Millî Selamet Partisi,,,,,,,,
Ahmet Asaf Saraçoğlu,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Asım Tokuş,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Ata Aksu,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Ahmet Atıf Akın,,,,,,,,,,,Demokrat Parti,,,,,Demokrat Parti,,,,,,,,,,,
Ahmet Atıf Hacıpaşaoğlu,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Ahmet Atıf İnan,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Avcı,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ahmet Aydoğmuş,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Ahmet Aydın,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ahmet Aydın Bolak,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ahmet Baha Öğütken,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Ahmet Bahir Ersoy,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Balkan,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Ahmet Baydar,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Başıbüyük,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Bedii Enüstün,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Behçet Türkay,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Berat Çonkar,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ahmet Besim Atalay,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Besim Özek,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Beğ Kulualp,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Bilge,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Ahmet Bilgin,,,,,,,,,,Cumhuriyetçi Millet Partisi,,Cumhuriyetçi Millet Partisi,Cumhuriyetçi Millet Partisi,,,,,,,,,,,,,,
Ahmet Bilgiç,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Ahmet Bilyeli,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Ahmet Bozdağ,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Bukan,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,
Ahmet Buldanlı,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Ahmet Bülent Osma,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Büyükakkaşlar,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ahmet Büyükgümüş,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Ahmet Büyükuğur,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Ahmet Can Bilgin,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Ahmet Can Demiray,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Ahmet Celâl Erozan,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Celâl Sahir Erozan,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ahmet Cemal Köprülü,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Cemal Seymen,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Ahmet Cemal Tunca,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Ahmet Cemalettin Çelebi Ulusoy,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Cemil Kara,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Ahmet Cemil Tunç,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,,,,,,
Ahmet Cemil Yardım,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Cevat Emre,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ahmet Cevat Odyakmaz,,,,,,,,,,,,Cumhuriyetçi Köylü Millet Partisi,Cumhuriyetçi Köylü Millet Partisi,,,,,,,,,,,,,,
Ahmet Cevdet Aydın,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ahmet Cevdet Baybura,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Cevdet Karslı,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Ahmet Cevdet Oskay,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Ahmet Cevdet Taflıoğlu,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Cinbek,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Ahmet Daniş Yurdakul,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ahmet Davutoğlu,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Ahmet Demircan,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,Refah Partisi,Refah Partisi,Refah Partisi
Ahmet Deniz Bölükbaşı,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,
Ahmet Derin,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,,,,,,
Ahmet Doğan,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,Adalet ve Kalkınma Partisi,,
Ahmet Doğru,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Ahmet Durakoğlu,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Ahmet Duran Bulut,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,,
Ahmet Dökülmez,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,,
Ahmet Edip Uğur,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,,,
Ahmet Ehrar Keskin,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Ekici,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Ahmet Ekrem Demiray,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Emin Arkayın,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Enver Özgen,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Erbaş,,,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi
Ahmet Erdal Feralan,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Ahmet Erol Ersoy,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Ahmet Ersin,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,,
Ahmet Ertürk,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ahmet Esat Kerimol,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Esat Kıratlıoğlu,,,,,,,,,,,,,,Adalet Partisi,,Adalet Partisi,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,
Ahmet Esat Uras,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Esen,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Eşref Fakıbaba,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ahmet Fahri Kurtuluş,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Faik Abasıyanık,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Faik Aybay,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Faik Günday,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Faik Kurtoğlu,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Faruk Nafiz Çamlıbel,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Faruk Ünsal,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ahmet Fatin Zorlu,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Fehmi Işıklar,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,,,,,,
Ahmet Fehmi Çobanoğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Ferit Ecer,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Ahmet Ferit Tek,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Ferruh Bozbeyli,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,
Ahmet Fevzi Erdem,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Feyzi Boztepe,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Feyzi İnceöz,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,,
Ahmet Fikri Tirkeş Erbuğ,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Fikri Tuzer,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ahmet Fuat Azmioğlu,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Ahmet Fuat Bilal,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Fuat Bulca,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ahmet Fırat,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ahmet Gökhan Sarıçam,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ahmet Gültekin KIZILIŞIK,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Ahmet Gündoğdu,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Ahmet Gündüz Ökçün,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Günebakan,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ahmet Güner,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Ahmet Gürkan,,,,,,,,,Demokrat Parti,Demokrat Parti,,Demokrat Parti,,,,,,,,,,,,,,,
Ahmet Güryüz Ketenci,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,
Ahmet Güzel,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Ahmet Hakkı Sütekin,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Haldun Ertürk,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Ahmet Halit Dallı,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Ahmet Haluk Koç,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Ahmet Haluk Çulha,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Haluk Ülman,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Halûk Karabörklü,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Halûk Şaman,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hamdi Aksoy,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Altıok,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Apaydın,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Atademir,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hamdi Başak,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hamdi Başar,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Bilgin,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Bozbağ,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hamdi Denizmen,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Dikmen,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Dumrul,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Gürsoy,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Mütevellioğlu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Ongun,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ahmet Hamdi Sancar,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,Demokrat Parti,,,,,,,,,,,
Ahmet Hamdi Selçuk,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Sezen,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hamdi Tanpınar,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Topçu,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Hamdi Türe,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Yalman,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Çamlı,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ahmet Hamdi Çelebi,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ahmet Hamdi Çelen,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Ülkümen,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ahmet Hamdi Üçpınarlar,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,
Ahmet Hamdi Şam,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Ahmet Hamdi Şarlan,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Ahmet Hamit Koray,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ahmet Hati,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Hayri Başar,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Ahmet Hazım Bozca,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,,
Ahmet Hazım Börekçi,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ahmet Hazım Türegün,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ahmet Haşim Benli,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
