speech_giver,political_party,terms
Mustafa Destici,"Milliyetçi Çalışma Partisi(1987-1993)Büyük Birlik Partisi(1993-2015, 2015-günümüz)Saadet Partisi(2015)",[27]
"Mustafa Destici, Antalya Milletvekili Deniz Baykal’ın yemin etmiş olmasından memnuniyet duyduğuna, Sakarya Kışlası’nda meydana gelen patlamada yaralanan Mehmetçiklere şifa niyaz ettiğine, 21 Şubat Bayburt ilinin düşman işgalinden kurtuluşunun 101’inci yıl dönümünü kutladığına, Çanakkale ilinde meydana gelen deprem nedeniyle geçmiş olsun dileğinde bulunduğuna, Türkiye’ye kaçak yollarla giren Ermenistan vatandaşlarıyla ilgili sözlerinin çarpıtıldığına, 26 Şubat Hocalı katliamının 27’nci yıl dönümüne, 21 Şubat Dünya Ana Dili Günü’ne, Alparslan Türkeş adının ünversiteye verilmesinin memnuniyet verici olduğuna ilişkin açıklaması 1036:1037 1002 TBMM B: 56 21 . 2 . 2019 Sayfa 32.- İstanbul Milletvekili Erkan Baş",,[]
Mustafa Elitaş,Adalet ve Kalkınma Partisi(2001-günümüz),"[22, 23, 24, 26, 27]"
Mustafa Elitaş’ın. Ankara Milletvekili Murat Emir’in sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 651:652 32.- Manisa Milletvekili Özgür Özel,,[]
Mustafa Esgin,Adalet ve Kalkınma Partisi,[27]
Mustafa Hamarat,Adalet ve Kalkınma Partisi,"[23, 24, 28]"
Mustafa Hidayet Vahapoğlu’n,Milliyetçi Hareket Partisi,[27]
Mustafa Hilmi Dülger,,"[26, 27]"
Mustafa Hüsnü Bozkurt,Cumhuriyet Halk Partisi,"[25, 26]"
Mustafa Ilıcalı,Adalet ve Kalkınma Partisi,"[22, 26]"
Mustafa Kabakcı,Milliyetçi Hareket Partisi,"[23, 24, 25, 26, 27, 28]"
Mustafa Kalaycı,Milliyetçi Hareket Partisi,"[23, 24, 25, 26, 27, 28]"
Mustafa Kaya,,[]
Mustafa Kemal Palaoğlu,,"[13, 14, 17]"
Mustafa Kul,,"[18, 19, 20]"
Mustafa Levent Karahocagil,Refah PartisiFazilet PartisiAdalet ve Kalkınma Partisi,[27]
Mustafa Moroğlu’n,Cumhuriyet Halk Partisi,[24]
Mustafa Murat Sökmenoğlu,,"[17, 18, 21]"
Mustafa Namlı,,[]
Mustafa Parlak,,"[18, 19]"
Mustafa Rüştü Taşar,,"[17, 18, 20, 21]"
Mustafa Sait Gönen,,"[21, 25]"
Mustafa Sarıgül,"Cumhuriyet Halk Partisi(2003-2005, 2013-2019, 2023-günümüz)","[18, 28]"
Mustafa Serdar Soydan,Cumhuriyet Halk Partisi,[24]
Mustafa Sezgin Tanrıkulu’n,Cumhuriyet Halk Partisi(2010-günümüz),"[24, 25, 26, 27, 28]"
Mustafa Tuncer,Cumhuriyet Halk Partisi(CHP)İYİ Parti(2018),"[25, 26, 27]"
Mustafa Uğur Ener,,"[17, 18]"
Mustafa Vural,,"[21, 23]"
Mustafa Yel,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Mustafa Yeneroğlu’n,"Adalet ve Kalkınma Partisi(2015-2019)Bağımsız(2019-2020, 2024-günümüz)Demokrasi ve Atılım Partisi(2020-2024)","[25, 26, 27, 28]"
Mustafa Çakır,,[22]
Mustafa Çorapçıoğlu,Milliyetçi Demokrasi PartisiDoğru Yol Partisi,"[17, 18]"
Mustafa Öztürk,,[]
Mustafa İsen,Adalet ve Kalkınma Partisi,"[25, 26]"
Mustafa Şah,,[]
Mustafa Şentop,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Mustafa Şükrü Nazlı,Adalet ve Kalkınma Partisi,"[25, 26]"
Mustafa Şükrü Yüzbaşıoğlu,,[]
Muzaffer Arıcı,Anavatan Partisi,"[17, 18, 19]"
Muzaffer Demir,,[]
Muzaffer Yurttaş,Adalet Ve Kalkınma Partisi,[24]
Mücahit Durmuşoğlu’n,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Mühip Kanko’n,Cumhuriyet Halk Partisi,[28]
Mümin Gençoğlu,Anavatan Partisi,[19]
Mümin İnan,Milliyetçi Hareket Partisi(1999-2011)Bağımsız(2011-2018)İYİ Parti(2018-günümüz),[23]
Mümtaz Güler,,"[17, 18]"
Münir Kutluata,,"[23, 24]"
Münir Sevinci,,[]
Münir Sevinç,,[]
Mürsel Alban,,[27]
Müslüm Doğan,Halkların Demokratik Partisi(2012-2018)Bağımsız(2018-2024)Cumhuriyet Halk Partisi(2024-günümüz),"[25, 26]"
Müslüm Yüksel,Adalet ve Kalkınma Partisi,[27]
Müzeyyen Şevkin,Cumhuriyet Halk Partisi,"[27, 28]"
Nabi Avcı,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Namık Havutça,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Nazmi Önder,,[17]
Nazım Maviş,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Nazır Cihangir İslam,Halkın Sesi Partisi(2010-2012)Saadet Partisi(2018-2020)Cumhuriyet Halk Partisi(2021-günümüz),[27]
Nebi Bozkurt,Adalet ve Kalkınma Partisi,[24]
Necat Birinci,,[23]
Necat Tunçsiper,Anavatan Partisi,"[17, 18]"
Necati Tığlı,Cumhuriyet Halk Partisi,[27]
Necati Yılmaz,,[]
Necati Özensoy,,"[23, 24]"
Neccar Türkcan,,"[15, 16, 18]"
Necdet Budak,Cumhuriyet Halk Partisi(2002-2004)Adalet ve Kalkınma Partisi(2004),"[22, 23]"
Necdet Ünüvar,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26]"
Necdet İpekyüz,Halkların Demokratik Partisi,[27]
Necdet İpekyüz’ün yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 271 58.- Balıkesir Milletvekili Fikret Şahin,,[]
Necip Kalkan,,[26]
Necip Oğuzhan Artukoğlu,,[]
Necmettin Çalışkan,Saadet Partisi(2001-günümüz),[28]
Nejat Abdullah Resulolu,,[]
Nejât Abdullah Gülcek,,[]
Neriman Elg,,[]
Nermin Yıldırım Kara,Cumhuriyet Halk Partisi,[28]
Neslihan Hancıoğlu’n,Cumhuriyet Halk Partisi,[27]
Nevin Taşlıçay,Milliyetçi Hareket Partisi,[27]
Nevingaye Erbatur,Cumhuriyet Halk Partisi,"[22, 23]"
Nevzat Ceylan,Doğru Yol PartisiDemokrat PartiAdalet ve Kalkınma Partisi,"[25, 26, 27]"
Nevzat Yağcı,AK Parti,[]
Nihat Akdoğan,Halkların Demokratik Partisi,"[25, 26]"
Nihat Akdoğan’ın 503 sıra sayılı 2018 Yılı Bütçe Kanunu Tasarısı ile 504 sıra sayılı 2016 Yılı Kesin Hesap Kanunu Tasarısı’nın sekizinci tur görüşmelerinde HDP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 672:673 9.- Hakkâri Milletvekili Nihat Akdoğan,,[]
Nihat Akdoğan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 673:675 11.- Kocaeli Milletvekili Haydar Akar,,[]
Nihat Yeşil,Sosyaldemokrat Halkçı PartiCumhuriyet Halk PartisiİYİ Parti(2018),"[25, 26, 27]"
Nihat Zeybekci,AK Parti(2004-günümüz),"[24, 25, 26]"
Nilgün Ök,Adalet ve Kalkınma Partisi,"[27, 28]"
Nimet Özdemir,İYİ Parti(2017-2024)Cumhuriyet Halk Partisi(2024-günümüz),[28]
Niyazi Güneş,,[27]
Niyazi Nefi Kara,Cumhuriyet Halk Partisi,"[25, 26]"
Nizamettin Toğuç,,[]
Nuh Mehmet Kaşıkçı,Anavatan Partisi,"[17, 18]"
Numan Kurtulmuş,Adalet ve Kalkınma Partisi(2012-günümüz),"[25, 26, 27, 28]"
Nuran İmir,Halkların Demokratik Partisi,[27]
Nurdan Şanlı,,[24]
Nureddin Nebati,Refah PartisiAdalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26, 28]"
Nurettin Alan,,[28]
Nurettin Aras,,[26]
Nurettin Canikli,Adalet ve Kalkınma Partisi,"[22, 23, 24, 26, 27]"
Nurettin Demir,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Nurettin Demir’in 433 sıra sayılı 2017 Yılı Bütçe Kanunu Tasarısı’nın 13’üncü maddesi üzerinde CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1108:1109 10.- Ankara Milletvekili Levent Gök,,[]
Nurettin Yaşar,Adalet ve Kalkınma Partisi,"[25, 26]"
Nurhayat Altaca Kayışoğlu’n,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Nuri Korkmaz,Halkçı PartiDemokratik Sol Parti,[17]
Nuri Okutan,Milliyetçi Hareket Partisi(2015-2017)İYİ Parti(2017-günümüz),"[25, 26]"
Nuri Uslu,Adalet ve Kalkınma Partisi,[23]
Nuri Yaman,,[23]
Nursel Aydoğan,Demokratik Toplum PartisiBarış ve Demokrasi PartisiHalkların Demokratik Partisi,"[24, 25, 26]"
Nursel Reyhanlıoğlu’n,Adalet ve Kalkınma Partisi,"[25, 26]"
Nursuna Memecan,,"[23, 24]"
Nurten Yontar,Cumhuriyet Halk Partisi,[28]
Okan Gaytancıoğlu’n,"Cumhuriyet Halk Partisi(2010-2018, 2018-günümüz)İYİ Parti(2018)","[25, 26, 27]"
Okan Gaytancıoğlu’nun 443 sıra sayılı Kanun Tasarısı’nın 12’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 242:244 28.- Manisa Milletvekili Özgür Özel,,[]
Okan Konuralp,Cumhuriyet Halk Partisi,[28]
Oktay Vural,Milliyetçi Hareket Partisi(1995-2023)İYİ Parti(2023-günümüz),"[21, 23, 24, 25, 26]"
Oktay Vural’ın ifadelerine ilişkin açıklaması 326:327 14.- Kayseri Milletvekili Yusuf Halaçoğlu’n,,[]
Oktay Vural’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 999:1000 24.- Sağlık Bakanı Mehmet Müezzinoğlu’n,,[]
Oktay Vural’ın yoksulluğun ölçümüyle ilgili konuşmasına ilişkin açıklaması 158 11.- Çalışma ve Sosyal Güvenlik Bakanı Ömer Dinçer,,[]
Oktay Çanak,Adalet ve Kalkınma Partisi,"[25, 26]"
Oktay Öztürk,,"[19, 24, 25, 26]"
Olcay Kılavuz,Milliyetçi Hareket Partisi,[27]
Onur Öymen,Cumhuriyet Halk Partisi,"[22, 23]"
Onural Şeref Bozkurt,,"[17, 18]"
Onursal Adıgüzel,Cumhuriyet Halk Partisi(2010-günümüz),"[25, 26, 27]"
"Onursal Adıgüzel,’in İstanbul Söğütlüçeşme’de yaşanan metrobüs kazası sonucunda hayatını kaybeden metrobüs şoförü Ali Gözderesi’nin ailesine başsağlığı, yaralı vatandaşlara acil şifalar dilediğine ve son zamanlarda metrobüs kazalarının arttığına ilişkin açıklaması 567 11.- Adana Milletvekili İbrahim Özdiş",,[]
Orhan Atalay,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Orhan Ateş,Adalet ve Kalkınma Partisi,[28]
Orhan Deligöz,Adalet ve Kalkınma Partisi,[26]
Orhan Düzgün,,[]
Orhan Erdem,Adalet ve Kalkınma Partisi,"[22, 23, 27, 28]"
Orhan Karasayar,,"[23, 24, 25, 26]"
Orhan Kırcalı,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Orhan Miroğlu’n,,"[25, 26]"
Orhan Sarıbal,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Orhan Sarıbal’a babasının vefatı nedeniyle başsağlığı dileğinde bulunduğuna ilişkin açıklaması 88 28.- İstanbul Milletvekili Filiz Kerestecioğlu Demir,,[]
Orhan Sarıbal’ın 548 sıra sayılı Kanun Tasarısı’nın üçüncü bölümü üzerinde şahsı adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 863 29.- İstanbul Milletvekili Mehmet Muş,,[]
Orhan Sümer,Cumhuriyet Halk Partisi,"[27, 28]"
Orhan Sümer’in Adana’nın Pozantı ilçesinde yaşanan sorunlara ilişkin açıklaması 518 7.- Mersin Milletvekili Ali Cumhur Taşkın,,[]
Orhan Yegin,Adalet ve Kalkınma Partisi,"[27, 28]"
Orhan Şendag,,[]
Osman Aşkın Bak,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Osman Baydemir,DEHAPDTPBDPHDP,[25]
Osman Boyraz,,"[24, 26, 27]"
Osman Coşkun,Cumhuriyet Halk Partisi,[4]
Osman Coşkunoğlu,,"[22, 23]"
Osman Durmuş,,[]
Osman Kahveci,,"[24, 25]"
Osman Kaptan,,"[22, 23, 24]"
Osman Nuri Gülaçar,,[27]
Osman Oktay Ekşi,Cumhuriyet Halk Partisi,[24]
Osman Taney Korutürk,Cumhuriyet Halk Partisi,[24]
Osman Ören,Adalet ve Kalkınma Partisi,"[24, 27]"
Osman Özçelik,Barış ve Demokrasi Partisi(2008-2014)Halkların Demokratik Partisi(2014-günümüz),[23]
Oya Eronat,Adalet ve Kalkınma Partisi,"[24, 27]"
Oya Ersoy,Halkların Demokratik Partisi,[27]
Oya Ersoy’un 302 Sıra Sayılı Kanun Teklifi’nin 2’nci maddesiyle ilgili önerge üzerinde yapmış olduğu konuşmasındaki bazı ifadelerine ilişkin açıklaması 258 34.- İstanbul Milletvekili Engin Altay,,[]
Oğuz Kaan Salıcı,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Oğuzhan Asıltürk,,[]
Oğuzhan Kaya,Adalet ve Kalkınma Partisi,"[27, 28]"
Pakize Mutlu Aydemir,Adalet ve Kalkınma Partisi,[27]
Paşa Sarıoğlu,Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Perihan Koca,Toplumsal Özgürlük Partisi(2020-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),[28]
Pervin Buldan,DEM Parti(2023-günümüz),"[23, 24, 25, 26, 27, 28]"
Plan ve Bütçe Komisyonu Sözcüsü Cemal Öztürk,Deniz Yücel,[]
Polat Şaroğlu’n,Cumhuriyet Halk Partisi,[27]
Radiye Sezer Katırcıoğlu’n,Adalet ve Kalkınma Partisi,"[25, 26, 27, 28]"
Rafet Zeybek,Cumhuriyet Halk Partisi,[27]
Ramazan Can,Adalet ve Kalkınma Partisi,"[22, 24, 25, 26, 27]"
"Ramazan Can, bütün olumsuzluklara rağmen Türkiye’nin büyüdüğüne ve muhtar maaşındaki iyileştirmeye ilişkin açıklaması 34 26.- Antalya Milletvekili Aydın Özer",,[]
Ramazan Kaşlı,Milliyetçi Hareket Partisi,"[27, 28]"
Ramazan Kerim Özkan,,"[22, 23, 24]"
Ramis Topal,,[24]
Ravza Kavakcı Kan,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Recai Berber,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26]"
Recep Akdağ,Adalet ve Kalkınma Partisi,"[22, 23, 24, 26, 27]"
Recep Ercüment Konukman,Anavatan PartisiYeni PartiMilliyetçi Hareket Partisi,"[17, 18, 19]"
Recep Kırış,,"[19, 20]"
Recep Orhan Erg,,[]
Recep Taner,Milliyetçi Hareket Partisi,[23]
Recep Özel,,[]
Recep Şeker,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Refik Arslan,,[]
Refik Eryılmaz,Cumhuriyet Halk Partisi(?-2015)Bağımsız(2015)Cumhuriyet Halk Partisi(2015-günümüz),[24]
Refik Özen,Adalet ve Kalkınma Partisi,"[27, 28]"
Remzi Kartal,Halkın Emek PartisiDemokrasi Partisi,[19]
Reşat Doğru,Milliyetçi Hareket Partisi,"[21, 23, 24]"
Reşat Karagöz,Cumhuriyet Halk Partisi,[28]
Reşat Petek,,"[25, 26]"
Reşit Ülker,Cumhuriyet Halk PartisiHalkçı PartiAnavatan Partisi,"[12, 13, 14, 15, 17, 18]"
Riza Ilıman,,[]
Riza Yılmaz,,[]
Ruhi Ersoy,Milliyetçi Hareket Partisi(2015-günümüz),"[25, 26]"
Ruhsar Demirel,Milliyetçi Hareket Partisi,"[24, 25]"
Rukiye Toy,Adalet ve Kalkınma Partisi,[28]
Rusan Iş,,[]
Ruza İlman,,[]
Ruşan Iş,,[]
Rümeysa Kadak,Adalet ve Kalkınma Partisi,"[27, 28]"
Rüstem Zeydan,Adalet Ve Kalkınma Partisi(2001-2019)Bağımsız(2019-2021)Cumhuriyet Halk Partisi(2021-günümüz),[23]
Rüştü,,[]
Rüştü Kâzım Yücelen,Anavatan Partisi(1983-2002),"[17, 18, 19, 20, 21]"
Rüştü Şardağ,,[17]
Rıdvan Turan,Sosyalist Demokrasi Partisi(2009-2015)Halkların Demokratik Partisi(2015-günümüz),"[25, 27]"
Rıdvan Yalçın,Milliyetçi Hareket PartisiİYİ Parti,[23]
Rıfat Bayazıt,Milliyetçi Demokrasi Partisi,[17]
Rıfat Sait,Adalet ve Kalkınma Partisi,[24]
Rıtvan Köybaşı,Adalet ve Kalkınma Partisi,"[22, 23]"
S u n Sakık,,[]
S. Nevzat Korkmaz,,[]
Saadet Becerekli,Halkların Demokratik Partisi,"[25, 26]"
Sabahat Özgürsoy Çelik,Adalet ve Kalkınma Partisi,[27]
Sabit Batumlu,Halkçı Parti,[17]
Sabri Aras,,"[17, 18]"
Sabri Öztürk,,[]
Sacid Yıldız,Cumhuriyet Halk Partisi,[23]
Sadettin Ağacık,Milliyetçi Demokrasi PartisiAnavatan Partisi,"[17, 18]"
Sadir Durmaz,Milliyetçi Hareket Partisi,"[24, 25, 27, 28]"
Sadullah Ergin,,[]
Saffet Kaya,"Anavatan Partisi,Doğru Yol Partisi,Adalet ve Kalkınma Partisi","[20, 21, 23]"
Saffet Sancaklı,"Milliyetçi Hareket Partisi(2007-2023, 2024-günümüz)","[25, 26, 27, 28]"
Saffet Sancaklı’nın eşine acil şifalar dilediğine ilişkin açıklaması 1187 50.- İstanbul Milletvekili Engin Altay,,[]
Safiye Seymenoğlu’n,,"[23, 24]"
Sait Yüce,Adalet ve Kalkınma Partisi,"[25, 26]"
Sakine Öz,Cumhuriyet Halk Partisi,[24]
Salih Alcan,,[]
Salih Cora,Anavatan Partisi(2002-2004)Adalet ve Kalkınma Partisi(2004-günümüz),"[26, 27]"
Salih Fırat,Cumhuriyet Halk Partisi(2011-2013)Adalet ve Kalkınma Partisi(2013-günümüz),"[24, 25, 26]"
Salih Koca,Adalet ve Kalkınma Partisi,"[24, 25]"
Salih Çetinkaya,Adalet ve Kalkınma Partisi,"[25, 26]"
Saliha Sera Kadıgil,Cumhuriyet Halk Partisi(2010-2021)Türkiye İşçi Partisi(2021-günümüz),"[27, 28]"
Salihe Aydeniz,HDP(2018-2019)DBP(2019-2023)DEM Parti(2023)DBP(2023)DEM Parti(2023-günümüz),"[27, 28]"
Salim Erel,,[17]
Salim Uslu’n,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Sami Dedeoğlu’n,Adalet ve Kalkınma Partisi,[26]
Sami Dedeoğlu’nun 28 Şubat postmodern darbesinin 21’inci yıl dönümüne ve 27 Şubat Necmettin Erbakan’ın vefatının 7’nci yıl dönümüne ilişkin açıklaması 428 6.- Edirne Milletvekili Okan Gaytancıoğlu’n,,[]
Sami Güçlü’n,,"[22, 23]"
Sami Sözat,,[]
Sami Çakır,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Sebahat Tuncel,Halkın Demokrasi Partisi(HADEP)(1998-2003)Demokratik Halk Partisi(DEHAP)(2003-2005)Demokratik Toplum Partisi(2005-2008)Barış ve Demokrasi Partisi(2008-2012)Halkların Demokratik Partisi(2012-2014)Demokratik Bölgeler Partisi(2014-günümüz),"[23, 24]"
Sebahattin Karakelle,,"[21, 23, 24, 26]"
Sefer Aycan,Milliyetçi Hareket Partisi,"[25, 27]"
Selahattin Demirtaş,Demokratik Toplum Partisi(2007-2008)Barış ve Demokrasi Partisi(2008-2014)Halkların Demokratik Partisi(2014-2020),"[23, 24, 25, 26]"
Selahattin Karaahmetoğlu’n,Cumhuriyet Halk Partisi,[24]
Selahattin Kılıç,Adalet PartisiDoğru Yol Partisi,"[13, 14, 15, 16, 18, 19]"
Selahattin Minsolmaz,Adalet ve Kalkınma Partisi,"[26, 27]"
Selami Altınok,Adalet ve Kalkınma Partisi(2018-günümüz),"[27, 28]"
Selami Uzun,,"[22, 23]"
Selcan Hamşıoğlu’n,İYİ Parti,[28]
Selim Dursun,,"[25, 26]"
Selim Gültekin,Adalet ve Kalkınma Partisi,[27]
Selim Yağcı,Adalet ve Kalkınma Partisi,[27]
Selin Sayek Böke,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Selina Doğan,Cumhuriyet Halk Partisi,"[25, 26]"
Selma Irmak,Barış ve Demokrasi PartisiHalkların Demokratik Partisi,"[24, 25, 26]"
Selçuk Özdağ,Gelecek Partisi(2019-günümüz),"[24, 25, 26, 28]"
Sema Kırcı,,"[25, 26]"
Semiha Ekinci,Adalet ve Kalkınma Partisi,[27]
Semra Güzel,Halkların Demokratik Partisi,[27]
Semra Kaplan Kıvırcık,,[27]
Sena Kaleli,,[24]
Serap Yaşar,,"[26, 27]"
Serdal Kuyucoğlu’n,Cumhuriyet Halk Partisi,[26]
"Serdal Kuyucuoğlu, Gezi’nin 4’üncü yıl dönümüne, Hükûmetin ve Cumhurbaşkanı Recep Tayyip Erdoğan’ın dış politika konusunda kafasının ve niyetinin karışık olduğuna ilişkin açıklaması 776 21.- Manisa Milletvekili Erkan Akçay",,[]
Serkan Sarı,Cumhuriyet Halk Partisi,[28]
Serkan Topal,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Sermet Atay,Doğru Yol Partisi(1990-2007)Milliyetçi Hareket Partisi(2011-günümüz),"[27, 28]"
Sermin Balık,Adalet ve Kalkınma Partisi,"[24, 27]"
Serpil Kemalbay Pekgözegü,Halkların Demokratik Partisi,[27]
Servet Mullaoğlu’n,Cumhuriyet Halk Partisi,[28]
Servet Turgut,,[]
Servet Ünsal,Cumhuriyet Halk Partisi,[27]
Sevahir Bayındır,,[23]
Sevda Erdan Kılıç,Cumhuriyet Halk Partisi(1999-günümüz),"[27, 28]"
Sevda Karaca Demir,Emek Partisi,[28]
Seyfettin Yılmaz,,"[24, 25, 26]"
Seyfi Yılmaz,,"[24, 25, 26]"
Seyit Sertçelik,,[24]
Seyit Torun,Cumhuriyet Halk Partisi(1994-2004)Demokratik Sol Parti(2004-2011)Cumhuriyet Halk Partisi(2011-günümüz),"[25, 26, 27, 28]"
Sezg,,[]
Sibel Suiçmez,Cumhuriyet Halk Partisi,[28]
Sibel Yiğitalp,,"[25, 26]"
Sibel Yiğitalp’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 809:810 652 TBMM B: 38 15 . 12 . 2017 Sayfa 16.- Sakarya Milletvekili Engin Özkoç,,[]
Sibel Özdemir,,"[26, 27]"
Sibel Özdemir’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 365:366 15.- Avrupa Birliği Bakanı Ömer Çelik,CHP,[]
Sinan Oğan,Milliyetçi Hareket Partisi(2011-2017)Bağımsız(2017-Günümüz),[24]
Soner Aksoy,,"[22, 23, 24]"
Suat Kılıç,Adalet ve Kalkınma Partisi(2002-2023)Yeniden Refah Partisi(2023-günümüz),"[22, 23, 24]"
Suat Pamukçu’n,Adalet ve Kalkınma Partisi(2024-günümüz),"[20, 21, 28]"
Suat Önal,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Suat Özcan,Cumhuriyet Halk Partisi,[27]
Suat Özçağdaş,Cumhuriyet Halk Partisi,[28]
Suzan Şahin,Cumhuriyet Halk Partisi,[27]
Süleyman Bülbül,Cumhuriyet Halk Partisi,"[27, 28]"
Süleyman Girgin,,[27]
Süleyman Karaman,Adalet ve Kalkınma Partisi,"[27, 28]"
Süleyman Lâtif Yunusoğlu’n,Milliyetçi Hareket Partisi,[23]
Süleyman Çelebi,,[]
Süleyman Şahan,Adalet ve Kalkınma Partisi,[28]
Sümeyye Boz,Halkların Eşitlik ve Demokrasi Partisi,[28]
Süreyya Sadi Bilgiç,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 27]"
Süreyya Öneş Derici,Cumhuriyet Halk Partisi,[28]
Sırrı Sakik,SHPHEPDEPHADEPDTPBDPHDPDEM,"[19, 23, 24, 28]"
Sırrı Süreyya Önder,Barış ve Demokrasi Partisi(2011-2014)Halkların Demokratik Partisi(2014-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-2025),"[24, 25, 26, 28]"
Sıtkı Güvenç,Adalet ve Kalkınma Partisi,[24]
Tacettin Bayır,Cumhuriyet Halk Partisi(1985-2018)İYİ Parti(2018)Cumhuriyet Halk Partisi(2018-günümüz),"[25, 26, 27]"
"Tacettin Bayır, İzmir’in su ihtiyacının karşılanmasıyla ilgili yapılanlara ve Gördes Barajı’ndaki sorunun ne zaman çözüleceğini öğrenmek istediğine ilişkin açıklaması 612 10.- Kocaeli Milletvekili İlyas Şeker",,[]
Tacidar Seyhan,,"[22, 23]"
Taha Aksoy,,[23]
Tahir Akyürek,Refah Partisi(1987-1998)Fazilet Partisi(1998-2001)Saadet Partisi(2001-2004)Adalet ve Kalkınma Partisi(2004-günümüz),"[27, 28]"
Tahir Öztürk,Adalet ve Kalkınma Partisi,"[23, 26]"
Tahsin Tarhan,CHP(2014-günümüz),"[25, 26, 27]"
Tahsin Tarhan’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 203:204 37.- Manisa Milletvekili Özgür Özel,,[]
Talih Özcan,Cumhuriyet Halk Partisi,[28]
Talip Küçükcan,Adalet ve Kalkınma Partisi,"[25, 26]"
Tamer Dağlı,Adalet ve Kalkınma Partisi,"[26, 27]"
Tamer Osmanağaoğlu’n,Milliyetçi Hareket Partisi,"[27, 28]"
Taner,,[]
Taner Yıldız,Adalet ve Kalkınma Partisi(2002-günümüz),"[22, 23, 24, 26, 27]"
Tanju Özcan,"Demokratik Sol Parti(1999-2004)Cumhuriyet Halk Partisi(2004-2022, 2023, 2023-günümüz)Bağımsız(2022, 2023)","[24, 25, 26, 27]"
Tanrıyar,Anavatan Partisi,"[17, 18]"
Tansel Barış,,[23]
Tayfur,,[]
Tayfur Süner,Cumhuriyet Halk Partisi,[23]
Tekin Bingöl,Cumhuriyet Halk Partisi,"[23, 25, 26, 27, 28]"
Tekin Bingöl’ün 433 sıra sayılı 2017 Yılı Bütçe Kanunu Tasarısı ile 434 sıra sayılı 2015 Yılı Kesin Hesap Kanunu Tasarısı’nın birinci tur görüşmelerinde CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 261:262 4.- Muş Milletvekili Ahmet Yıldırım,,[]
Tevfik Diker,,"[19, 20]"
Tevfik Ertüz,,[18]
Tevfik Ziyaeddin Akbulut,,"[22, 23, 24]"
Timur Demir,,[]
Tolga Çandar,,[24]
Toptan,Adalet Partisi(1963-1980)Bağımsız(1980-1986)Doğru Yol Partisi(1986-1999)Bağımsız(1999-2002)Adalet ve Kalkınma Partisi(2002-2015)Bağımsız(2015-günümüz),"[16, 17, 18, 19, 20, 22, 23, 24]"
Tufan Köse,Cumhuriyet Halk PartisiİYİ Parti(2018),"[24, 25, 26, 27]"
Tulay Hatımoğulları Oruç,DEM Parti(2023-günümüz),"[27, 28]"
Tuma Çelik,Halkların Demokratik Partisi(?-2020),[27]
Tuncer Bakırhan,DEM Parti,[28]
Tur Yıldız Biçer,Cumhuriyet Halk Partisi,"[25, 26]"
Turan Aydoğan,Cumhuriyet Halk Partisi,[27]
Turan Taşkın Özer,Cumhuriyet Halk Partisi(2010-günümüz),[28]
Turgut Dibek,,"[23, 24]"
Turgut Sözer,,[]
